Year,GDP per Capita,Beef Consumption per Capita (kg) - Tillman,Beef Consumption per Capita (kg) - FAOSTAT,Beef Consumption per Capita (kg) - Alexandratos,Beef Consumption per Capita (kg) - Havlík
2023,13356.227136,7.035361858423849,6.353457341620555,7.035361858423849,7.035361858423849
2024,14024.0384928,7.245298283742347,6.4744756040237235,7.245298283742347,7.245298283742347
2025,14725.240417440002,7.46573153032677,6.595493866426864,7.46573153032677,7.46573153032677
2026,15461.502438312002,7.697186439240413,6.716512128830033,7.697186439240413,7.697186439240413
2027,16234.5775602276,7.940214093599739,6.8375303912332015,7.940214093599739,7.940214093599739
2028,17046.306438238982,8.195393130677031,6.95854865363637,8.195393130677031,8.195393130677031
2029,17898.62176015093,8.463331119608188,7.079566916039539,8.463331119608188,8.463331119608188
2030,18793.55284815848,8.744666007985902,7.2005851784426795,8.744666007985902,8.744666007985902
2031,19733.230490566406,9.040067640782503,7.321603440845848,9.040067640782503,9.040067640782503
2032,20719.892015094727,9.350239355218934,7.442621703249017,9.350239355218934,9.350239355218934
2033,21755.886615849464,9.675919655377186,7.563639965652186,9.675919655377186,9.675919655377186
2034,22843.68094664194,10.017883970543352,7.684658228055326,10.017883970543352,10.017883970543352
2035,23985.864993974035,10.376946501467824,7.805676490458495,10.376946501467824,10.376946501467824
2036,25185.15824367274,10.75396215893852,7.926694752861664,10.75396215893852,10.75396215893852
2037,26444.41615585638,11.149828599282753,8.047713015264833,11.149828599282753,11.149828599282753
2038,27766.636963649195,11.565488361644192,8.168731277667973,11.565488361644192,11.565488361644192
2039,29154.96881183166,12.00193111212371,8.289749540071142,12.00193111212371,12.00193111212371
2040,30612.71725242324,12.460196000127201,8.41076780247431,12.460196000127201,12.460196000127201
2041,32143.353115044403,12.941374132530864,8.53178606487748,12.941374132530864,12.941374132530864
2042,33750.520770796626,13.446611171554714,8.65280432728062,13.446611171554714,13.446611171554714
2043,35438.04680933646,13.977110062529757,8.773822589683789,13.977110062529757,13.977110062529757
2044,37209.94914980329,14.53413389805355,8.894840852086958,14.53413389805355,14.53413389805355
2045,39070.44660729345,15.119008925353533,9.015859114490127,15.119008925353533,15.119008925353533
2046,41023.96893765812,15.733127704018514,9.136877376893267,15.733127704018514,15.733127704018514
2047,43075.16738454103,16.377952421616747,9.257895639296436,16.377952421616747,16.377952421616747
2048,45228.92575376809,17.05501837509489,9.378913901699605,17.05501837509489,17.05501837509489
2049,47490.372041456496,17.76593762624694,9.499932164102773,17.76593762624694,17.76593762624694
2050,49864.890643529325,18.512402839956593,9.620950426505942,18.512402839956593,18.512402839956593
