country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.04,0.07,0.09,0.12,0.16,0.25,0.23,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.04,0.04,0.05,0.06,0.09,0.09,0.09,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sum,0,0,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0.01,0.01,0.04,0.05,0.03,0.05,0.11,0.15,0.21,0.27,0.35,0.47,0.45,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human consumption per capita(kg/per)-Fao,2.798612722,2.786007178,3.444498187,3.735934298,3.938566204,3.972965311,3.90598576,4.001638203,4.131262425,4.223436258,4.232117538,4.360583224,4.602741122,4.534870298,4.608884185,4.621673257,4.451632246,4.529619106,4.703872205,4.686000871,4.846039412,4.92406792,5.124528961,5.49584912,6.207344594,6.657170152,6.846935066,7.0592612,7.103474646,7.154317576,7.195293,7.249723137,7.306378804,7.357518709,7.403918995,7.45232003,7.502266981,,,,,,,,,,,,,,,,,,,
Beef Consumption per Capita (kg) - Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.035361858,7.245298284,7.46573153,7.697186439,7.940214094,8.195393131,8.46333112,8.744666008,9.040067641,9.350239355,9.675919655,10.01788397,10.3769465,10.75396216,11.1498286,11.56548836,12.00193111,12.460196,12.94137413,13.44661117,13.97711006,14.5341339,15.11900893,15.7331277,16.37795242,17.05501838,17.76593763,18.51240284
Beef Consumption per Capita (kg) - FAOSTAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.079566916,7.200585178,7.321603441,7.442621703,7.563639966,7.684658228,7.80567649,7.926694753,8.047713015,8.168731278,8.28974954,8.410767802,8.531786065,8.652804327,8.77382259,8.894840852,9.015859114,9.136877377,9.257895639,9.378913902,9.499932164,9.620950427,9.863,9.984,10.105,10.226,10.347,10.468
Beef Consumption per Capita (kg) - Alexandratos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.045361858,7.295298284,7.59573153,7.738898044,7.969828112,8.212304683,8.466905083,8.734235503,9.014932444,9.309664232,9.619132609,9.944074405,10.28526329,10.64351162,11.01967237,11.41464115,11.82935837,12.26481146,12.7220372,13.20212422,13.7062156,14.23551155,14.79127229,15.37482107,15.98754729,16.63090982,17.30644047,18.01574766
Beef Consumption per Capita (kg) - Havlik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.235361858,7.645298284,7.86573153,8.197186439,8.44243423,8.69435794,8.958877836,9.236623727,9.528256912,9.834471757,10.15599734,10.49359921,10.84808117,11.22028723,11.61110359,12.02146076,12.4523358,12.90475459,13.37979432,13.87858603,14.40231733,14.9522352,15.52964896,16.13593341,16.77253208,17.44096068,18.14281071,18.87975324
